name,latitude,longitude
westerlands,27.56672143,-134.1357422
westerlands,26.15543797,-147.3632813
westerlands,24.046464,-148.3300781
westerlands,22.39071392,-146.3525391
westerlands,16.46769475,-152.6806641
westerlands,5.834616166,-159.0966797
westerlands,6.184246161,-152.3291016
westerlands,-4.696879027,-155.9326172
westerlands,-7.580327791,-155.8007813
westerlands,-6.140554782,-144.9902344
westerlands,-4.521666343,-139.2773438
westerlands,-3.688855143,-127.8955078
crownlands,17.76961225,-100.6933594
crownlands,13.62463344,-108.9550781
crownlands,2.240639609,-112.1191406
crownlands,-4.346411275,-104.4287109
crownlands,-3.864254616,-89.31152344
crownlands,5.222246513,-84.91699219
crownlands,9.145486056,-87.37792969
crownlands,13.45373721,-83.42285156
crownlands,19.68397024,-81.31347656
crownlands,25.12539261,-82.45605469
crownlands,18.02052766,-93.09082031
crownlands,18.93746443,-97.66113281
reach,-7.580327791,-155.8007813
reach,-6.140554782,-144.9902344
reach,-4.521666343,-139.2773438
reach,-3.688855143,-127.8955078
reach,6.271618064,-125.4345703
reach,2.240639609,-112.1191406
reach,-4.346411275,-104.4287109
reach,-9.188870084,-110.3613281
reach,-18.93746443,-109.7900391
reach,-24.20688962,-128.1152344
reach,-27.99440141,-130.1367188
reach,-32.47269502,-138.3984375
reach,-41.86956083,-140.4638672
reach,-44.96479793,-140.4638672
reach,-47.12995076,-148.4619141
reach,-50.42951795,-156.6357422
reach,-48.3708477,-159.0087891
reach,-44.93369639,-158.8769531
reach,-37.99616268,-150.6591797
reach,-39.87601942,-155.1855469
reach,-38.65119833,-157.9980469
reach,-34.27083595,-159.0966797
reach,-28.69058765,-155.2294922
reach,-28.61345942,-152.9003906
reach,-20.67390526,-152.3291016
reach,-18.0623123,-149.6484375
reach,-16.63619188,-153.0761719
reach,-10.83330598,-156.1083984
stormlands,-4.346411275,-104.4287109
stormlands,-4.346411275,-104.4287109
stormlands,-9.188870084,-110.3613281
stormlands,-18.93746443,-109.7900391
stormlands,-24.20688962,-128.1152344
stormlands,-27.99440141,-130.1367188
stormlands,-30.14512718,-127.5878906
stormlands,-27.05912578,-111.8115234
stormlands,-29.03696065,-107.5927734
stormlands,-28.65203063,-93.88183594
stormlands,-30.75127778,-91.46484375
stormlands,-28.80617351,-82.10449219
stormlands,-21.12549764,-79.73144531
stormlands,-19.97334879,-82.1484375
stormlands,-19.43551434,-94.36523438
stormlands,-17.39257927,-94.54101563
stormlands,-16.97274102,-90.05859375
stormlands,-12.94032213,-88.4765625
stormlands,-9.838979376,-89.97070313
stormlands,-10.27168123,-84.9609375
stormlands,-13.53920067,-84.609375
stormlands,-15.58071074,-83.203125
stormlands,-15.83453574,-80.78613281
stormlands,-12.42584778,-79.37988281
stormlands,-9.492408154,-81.48925781
stormlands,-7.188100871,-84.91699219
stormlands,-4.390228926,-83.95019531
stormlands,-2.679686616,-87.90527344
stormlands,-3.864254616,-89.31152344
dorne,-44.96479793,-140.4638672
dorne,-41.86956083,-140.4638672
dorne,-32.47269502,-138.3984375
dorne,-27.99440141,-130.1367188
dorne,-30.14512718,-127.5878906
dorne,-27.05912578,-111.8115234
dorne,-29.03696065,-107.5927734
dorne,-36.27970721,-114.6240234
dorne,-36.73888412,-106.7578125
dorne,-34.84987503,-104.9121094
dorne,-36.98500309,-104.6923828
dorne,-38.78834536,-90.89355469
dorne,-35.63944107,-83.73046875
dorne,-35.3532161,-81.40136719
dorne,-37.82280243,-78.94042969
dorne,-41.4756602,-80.390625
dorne,-47.5468716,-89.44335938
dorne,-49.95121991,-134.1796875
dorne,-48.2831929,-137.6513672
dorne,-44.02442152,-138.0908203
