key,firstChapter,lastChapter,firstEpisode,lastEpisode
Tommen_Baratheon-1A,ASOS-60,ASOS-75,,
Tommen_Baratheon-1B,ASOS-60,ASOS-61,,
Tommen_Baratheon-1C,ASOS-60,TWOW-???,,
Tommen_Baratheon-1D,ASOS-60,TWOW-???,,
Tommen_Baratheon-1E,ASOS-60,AFFC-28,,
Tommen_Baratheon-1F,ASOS-60,ADWD-60,,
Tommen_Baratheon-1G,ASOS-60,TWOW-???,,
Tommen_Baratheon-2,ASOS-62,AFFC-43,,
Tommen_Baratheon-3,ASOS-68,TWOW-???,,
Free_folk-2,,,,
Daenerys_Targaryen-1,ASOS-71,TWOW-???,,
Tommen_Baratheon-4,ASOS-74,TWOW-???,,
Kingsmoot-4,ASOS-76,AFFC-18,,
Tommen_Baratheon-5,ASOS-76,ADWD-2,,
Jon_Snow-1,ASOS-79,ADWD-68,,
Euron_Greyjoy-1A,AFFC-19,TWOW-???,,
Euron_Greyjoy-1B,AFFC-19,ADWD-19,,
Euron_Greyjoy-1C,AFFC-19,ADWD-41,,
Euron_Greyjoy-1D,AFFC-19,TWOW-???,,
Euron_Greyjoy-2,AFFC-29,TWOW-???,,
Tommen_Baratheon-6,AFFC-29,TWOW-???,,
Tommen_Baratheon-7,AFFC-44,ADWD-47,,
Stannis_Baratheon-13,ADWD-3,ADWD-31,,
Tommen_Baratheon-8,ADWD-3,ADWD-19,,
Tommen_Baratheon-9,ADWD-20,ADWD-31,,
Tommen_Baratheon-10,ADWD-32,ADWD-41,,
Stannis_Baratheon-14,ADWD-42,TWOW-???,,
Tommen_Baratheon-11,ADWD-42,TWOW-???,,
Tommen_Baratheon-12,ADWD-48,TWOW-???,,
Aegon_Targaryen_(son_of_Rhaegar)-1,ADWD-61,TWOW-???,,
Tommen_Baratheon-13,ADWD-61,TWOW-???,,
Night%27s_Watch-2,ADWD-69,TWOW-???,,
Aegon_Targaryen_(son_of_Rhaegar)-2,TWOW-???,TWOW-???,,
Tommen_Baratheon-14,TWOW-???,TWOW-???,,
Stannis_Baratheon-15,TWOW-???,TWOW-???,,
Aegon_Targaryen_(son_of_Rhaegar)-3,TWOW-???,TWOW-???,,
Tommen_Baratheon-15,TWOW-???,TWOW-???,,
Aegon_Targaryen_(son_of_Rhaegar)-4,TWOW-???,TWOW-???,,
Tommen_Baratheon-16,TWOW-???,TWOW-???,,
Aegon_Targaryen_(son_of_Rhaegar)-5,TWOW-???,TWOW-???,,
Tommen_Baratheon-17,TWOW-???,TWOW-???,,
Stannis_Baratheon-16,TWOW-???,TWOW-???,,
Aegon_Targaryen_(son_of_Rhaegar)-6,TWOW-???,TWOW-???,,
Tommen_Baratheon-18,TWOW-???,TWOW-???,,
