wikiKey,seatKey,lat,lng,img,clue,isGreat,firstChapter,lastChapter,firstEpisode,lastEpisode
House_Reed,Greywater_Watch,,,http://awoiaf.westeros.org/images/thumb/6/6e/House_Reed.PNG/70px-House_Reed.PNG,,,,,,
House_Ryswell,,59.6233,-150.571,http://awoiaf.westeros.org/images/thumb/7/7f/House_Ryswell.PNG/109px-House_Ryswell.PNG,the extensive area between the Barrowlands and the Stony Shore,,,,,
House_Umber,Last_Hearth,,,http://awoiaf.westeros.org/images/thumb/1/14/Umber.png/102px-Umber.png,,,,,,
House_Glover,Deepwood_Motte,,,http://awoiaf.westeros.org/images/thumb/3/3d/House_Glover.PNG/50px-House_Glover.PNG,,,0,109,0,13
House_Greyjoy,Deepwood_Motte,,,http://awoiaf.westeros.org/images/thumb/f/f3/Greyjoy_coat_sigil.png/120px-Greyjoy_coat_sigil.png,,,110,296,14,50
House_Glover,Deepwood_Motte,,,http://awoiaf.westeros.org/images/thumb/3/3d/House_Glover.PNG/50px-House_Glover.PNG,,,297,999,51,99
House_Tallhart,Torrhen%27s_Square,,,http://awoiaf.westeros.org/images/thumb/f/fe/House_Tallhart.PNG/103px-House_Tallhart.PNG,,,0,118,0,13
House_Greyjoy,Torrhen%27s_Square,,,http://awoiaf.westeros.org/images/thumb/f/f3/Greyjoy_coat_sigil.png/120px-Greyjoy_coat_sigil.png,,,119,124,14,50
House_Tallhart,Torrhen%27s_Square,,,http://awoiaf.westeros.org/images/thumb/f/fe/House_Tallhart.PNG/103px-House_Tallhart.PNG,,,125,999,51,99
House_Greyjoy,Moat_Cailin,,,http://awoiaf.westeros.org/images/thumb/f/f3/Greyjoy_coat_sigil.png/120px-Greyjoy_coat_sigil.png,,,97,291,14,37
House_Flint_of_Flint%27s_Finger,Flint%27s_Finger,,,http://awoiaf.westeros.org/images/thumb/5/5d/House_Flint_of_Flint%27s_Finger.PNG/250px-House_Flint_of_Flint%27s_Finger.PNG,,,,,,
House_Crowl,,76.3829,-89.2675,http://awoiaf.westeros.org/images/thumb/f/f2/House_Crowl.PNG/90px-House_Crowl.PNG,mountain clan,,,,,
House_Magnar,,75.5301,-83.0273,http://awoiaf.westeros.org/images/thumb/6/63/Magnar.png/93px-Magnar.png,mountain clan,,,,,
House_Stane,,77.0492,-84.873,http://awoiaf.westeros.org/images/thumb/a/a8/Stane.png/93px-Stane.png,mountain clan,,,,,
House_Burley,,71.7876,-126.709,http://awoiaf.westeros.org/images/thumb/f/f4/House_Burley.PNG/250px-House_Burley.PNG,mountain clan,,,,,
House_Harclay,,71.3148,-121.172,http://awoiaf.westeros.org/images/thumb/0/0f/House_Harclay.PNG/50px-House_Harclay.PNG,mountain clan,,,,,
House_Knott,,72.829,-118.623,http://awoiaf.westeros.org/images/thumb/b/b6/House_Knott.PNG/111px-House_Knott.PNG,mountain clan,,,,,
House_Liddle,,72.9067,-124.512,http://awoiaf.westeros.org/images/thumb/d/d4/House_Liddle.PNG/110px-House_Liddle.PNG,mountain clan,,,,,
House_Norrey,,73.9589,-123.633,http://awoiaf.westeros.org/images/thumb/e/e8/House_Norrey.PNG/50px-House_Norrey.PNG,mountain clan,,,,,
House_Wull,,73.1759,-114.17,http://awoiaf.westeros.org/images/thumb/e/e0/House_Wull.PNG/50px-House_Wull.PNG,mountain clan,,,,,
House_Belmore,Strongsong,,,http://awoiaf.westeros.org/images/thumb/2/20/Belmore.PNG/50px-Belmore.PNG,,,,,,
House_Coldwater,Coldwater_Burn,,,http://awoiaf.westeros.org/images/thumb/5/57/House_Coldwater.PNG/90px-House_Coldwater.PNG,,,,,,
House_Corbray,Heart%27s_Home,,,http://awoiaf.westeros.org/images/thumb/e/e0/Corbray.png/93px-Corbray.png,,,,,,
House_Donniger,,33.1007,-98.54,http://awoiaf.westeros.org/images/thumb/1/16/Donniger.png/109px-Donniger.png,the Vale,,,,,
House_Egen,,34.1254,-95.9033,http://awoiaf.westeros.org/images/thumb/8/8a/House_Egen.PNG/104px-House_Egen.PNG,the Vale,,,,,
House_Elesham,,48.5747,-84.5507,http://awoiaf.westeros.org/images/thumb/5/51/Elesham.png/109px-Elesham.png,The Paps,,,,,
House_Grafton,Gulltown,,,http://awoiaf.westeros.org/images/thumb/9/91/Grafton.png/93px-Grafton.png,,,,,,
House_Hardyng,,35.3532,-94.4091,http://awoiaf.westeros.org/images/thumb/7/7e/House_Hardyng.PNG/90px-House_Hardyng.PNG,the Vale,,,,,
House_Hersy,,43.1009,-105.417,http://awoiaf.westeros.org/images/thumb/f/f7/Hersy.png/109px-Hersy.png,the Vale,,,,,
House_Hunter,Longbow_Hall,,,http://awoiaf.westeros.org/images/thumb/f/f0/House_Hunter.PNG/109px-House_Hunter.PNG,,,,,,
House_Lynderly,Snakewood,,,http://awoiaf.westeros.org/images/thumb/6/66/Lynderly.png/50px-Lynderly.png,,,,,,
House_Melcolm,Old_Anchor,,,http://awoiaf.westeros.org/images/thumb/e/e9/House_Melcolm.PNG/109px-House_Melcolm.PNG,,,,,,
House_Moore,,36.7036,-92.0361,http://awoiaf.westeros.org/images/thumb/e/e9/House_Moore.PNG/109px-House_Moore.PNG,the Vale,,,,,
House_Pryor,,48.0193,-95.8813,http://awoiaf.westeros.org/images/thumb/2/24/Pryor.PNG/109px-Pryor.PNG,The Pebble,,,,,
House_Redfort,Redfort,,,http://awoiaf.westeros.org/images/thumb/e/e0/House_Redfort.png/108px-House_Redfort.png,,,,,,
House_Royce,Runestone,,,http://awoiaf.westeros.org/images/thumb/e/ed/Royce.png/50px-Royce.png,,,,,,
House_Royce_of_the_Gates_of_the_Moon,Eyrie,,,http://awoiaf.westeros.org/images/thumb/c/cf/House_Royce_of_the_Gates_of_the_Moon.png/109px-House_Royce_of_the_Gates_of_the_Moon.png,,,,,,
House_Ruthermont,,37.6838,-89.1357,http://awoiaf.westeros.org/images/thumb/0/01/Ruthermont.png/109px-Ruthermont.png,the Vale,,,,,
House_Upcliff,,38.5137,-83.6865,http://awoiaf.westeros.org/images/thumb/8/8c/Upcliff.png/250px-Upcliff.png,the Vale,,,,,
House_Waynwood,Ironoaks,,,http://awoiaf.westeros.org/images/thumb/b/b6/House_Waynwood.PNG/109px-House_Waynwood.PNG,,,,,,
House_Wydman,,38.5137,-89.663,http://awoiaf.westeros.org/images/thumb/b/bc/Wydman.png/109px-Wydman.png,the Vale,,,,,
House_Borrell,,48.8357,-108.296,http://awoiaf.westeros.org/images/thumb/3/39/Borell.png/109px-Borell.png,the Vale,,,,,
House_Sunderland,Sisterton,,,http://awoiaf.westeros.org/images/thumb/4/45/Sunderland.png/109px-Sunderland.png,,,,,,
House_Baelish,House_Baelish,,,http://awoiaf.westeros.org/images/thumb/b/b9/OldBaelish.png/103px-OldBaelish.png,,,,,,
House_Waxley,Wickenden,,,http://awoiaf.westeros.org/images/thumb/d/dc/Waxley_large.png/50px-Waxley_large.png,,,,,,
House_Blacktyde,,35.1738,-149.165,http://awoiaf.westeros.org/images/thumb/5/50/Blacktyde.PNG/101px-Blacktyde.PNG,Blacktide Island,,,,,
House_Botley,,27.1373,-151.956,http://awoiaf.westeros.org/images/thumb/f/f7/Botley.png/90px-Botley.png,Pyke Island,,,,,
House_Drumm,,31.9894,-154.482,http://awoiaf.westeros.org/images/thumb/f/f9/Drumm.png/50px-Drumm.png,Old Wyk Island,,,,,
House_Farwynd_of_the_Lonely_Light,,37.4399,-154.482,http://awoiaf.westeros.org/images/thumb/5/5d/Farwynd.png/109px-Farwynd.png,Great Wyk Island,,,,,
House_Goodbrother,Hammerhorn,,,http://awoiaf.westeros.org/images/thumb/7/7b/House_Goodbrother.png/102px-House_Goodbrother.png,,,,,,
House_Harlaw,Ten_Towers,,,http://awoiaf.westeros.org/images/thumb/3/32/House_Harlaw.PNG/100px-House_Harlaw.PNG,,,,,,
House_Kenning,,29.8787,-145.957,http://awoiaf.westeros.org/images/thumb/c/c3/Kenning.png/50px-Kenning.png,Harlaw Island,,,,,
House_Merlyn,Pebbleton,,,http://awoiaf.westeros.org/images/thumb/8/86/Merlyn.png/109px-Merlyn.png,,,,,,
House_Myre,,30.9399,-147.407,http://awoiaf.westeros.org/images/thumb/2/2a/Myre.png/50px-Myre.png,Harlaw Island,,,,,
House_Orkwood,,32.4356,-148.638,http://awoiaf.westeros.org/images/thumb/4/49/Orkwood.png/50px-Orkwood.png,Orkmont Island,,,,,
House_Saltcliffe,,27.2936,-155.01,http://awoiaf.westeros.org/images/thumb/2/27/Saltcliffe.png/50px-Saltcliffe.png,Saltcliffe Island,,,,,
House_Sparr,,31.7281,-156.548,http://awoiaf.westeros.org/images/thumb/3/3d/House_Sparr.PNG/90px-House_Sparr.PNG,Great Wyk Island,,,,,
House_Stonehouse,,31.2785,-153.691,http://awoiaf.westeros.org/images/thumb/9/9f/Stonehouse.png/93px-Stonehouse.png,Old Wyk Island,,,,,
House_Stonetree,,32.6578,-144.99,http://awoiaf.westeros.org/images/thumb/9/9b/Stonetree.png/93px-Stonetree.png,Harlaw Island,,,,,
House_Sunderly,,27.3327,-154.043,http://awoiaf.westeros.org/images/thumb/3/34/House_Sunderly.png/109px-House_Sunderly.png,Saltcliffe Island,,,,,
House_Tawney,,32.3614,-150.747,http://awoiaf.westeros.org/images/thumb/e/e0/Tawney.png/109px-Tawney.png,Orkmont Island,,,,,
House_Volmark,,30.259,-143.936,http://awoiaf.westeros.org/images/thumb/1/17/House_Volmark.png/109px-House_Volmark.png,Harlaw Island,,,,,
House_Wynch,,28.0331,-152.725,http://awoiaf.westeros.org/images/thumb/b/ba/Wynch.png/90px-Wynch.png,Pyke Island,,,,,
House_Blackwood,Raventree_Hall,,,http://awoiaf.westeros.org/images/thumb/3/36/House_Blackwood.png/50px-House_Blackwood.png,,,,,,
House_Bracken,Stone_Hedge,,,http://awoiaf.westeros.org/images/thumb/5/53/Bracken_sigil_coat.png/50px-Bracken_sigil_coat.png,,,,,,
House_Butterwell,,16.7835,-107.285,http://awoiaf.westeros.org/images/thumb/a/a1/House_Butterwell.png/109px-House_Butterwell.png,the Riverlands,,,,,
House_Charlton,,35.7465,-123.853,http://awoiaf.westeros.org/images/thumb/c/c1/Charlton.png/109px-Charlton.png,the Riverlands,,,,,
House_Frey,Twins,,,http://awoiaf.westeros.org/images/thumb/3/3b/House_Frey.png/109px-House_Frey.png,,,,,,
House_Frey_of_Riverrun,Riverrun,,,http://awoiaf.westeros.org/images/thumb/3/3b/House_Frey.png/109px-House_Frey.png,,,269,999,999,999
House_Goodbrook,Goodbrook_Village,,,http://awoiaf.westeros.org/images/thumb/9/95/House_Goodbrook.PNG/103px-House_Goodbrook.PNG,,,,,,
House_Grell,,21.4121,-133.784,http://awoiaf.westeros.org/images/thumb/b/b7/House_Grell.PNG/50px-House_Grell.PNG,the Riverlands,,,,,
House_Hawick,Saltpans,,,http://awoiaf.westeros.org/images/thumb/0/09/Hawick.png/50px-Hawick.png,,,,,,
House_Keath,,24.8465,-120.249,http://awoiaf.westeros.org/images/thumb/c/c7/Keath.png/93px-Keath.png,the Riverlands,,,,,
House_Lolliston,,6.2279,-116.733,http://awoiaf.westeros.org/images/thumb/e/e7/House_Lolliston.PNG/250px-House_Lolliston.PNG,the Riverlands,,,,,
House_Lychester,Lychester_Keep,,,http://awoiaf.westeros.org/images/thumb/c/ca/House_Lychester.PNG/90px-House_Lychester.PNG,,,,,,
House_Mallister,Seagard,,,http://awoiaf.westeros.org/images/thumb/e/e5/House_Mallister.png/90px-House_Mallister.png,,,,,,
House_Mooton,Maidenpool,,,http://awoiaf.westeros.org/images/thumb/7/74/House_Mooton.PNG/50px-House_Mooton.PNG,,,,,,
House_Piper,Pinkmaiden_Castle,,,http://awoiaf.westeros.org/images/thumb/3/30/House_Piper.png/103px-House_Piper.png,,,,,,
House_Roote,Lord_Harroway%27s_Town,,,http://awoiaf.westeros.org/images/thumb/d/d1/Roote.png/50px-Roote.png,,,,,,
House_Ryger,,10.0986,-116.646,http://awoiaf.westeros.org/images/thumb/7/71/House_Ryger.PNG/90px-House_Ryger.PNG,the Riverlands,,,,,
House_Shawney,,25.0457,-124.556,http://awoiaf.westeros.org/images/thumb/b/bf/Shawney.png/93px-Shawney.png,the Riverlands,,,,,
House_Smallwood,Acorn_Hall,,,http://awoiaf.westeros.org/images/thumb/f/f2/Smallwood.png/50px-Smallwood.png,,,,,,
House_Terrick,,25.5226,-133.96,http://awoiaf.westeros.org/images/thumb/0/0b/House_Terrick.PNG/250px-House_Terrick.PNG,the Riverlands,,,,,
House_Vance_of_Atranta,,28.2656,-119.282,http://awoiaf.westeros.org/images/thumb/6/69/House_Vance_of_Artranta.PNG/50px-House_Vance_of_Artranta.PNG,the Riverlands,,,,,
House_Vance_of_Wayfarer%27s_Rest,Wayfarer%27s_Rest,,,http://awoiaf.westeros.org/images/thumb/0/01/House_Vance_of_Wayfarer%27s_rest.PNG/50px-House_Vance_of_Wayfarer%27s_rest.PNG,,,,,,
House_Vypren,,13.0259,-134.048,http://awoiaf.westeros.org/images/thumb/b/b5/Vyprin.png/50px-Vyprin.png,the Riverlands,,,,,
House_Wayn,,14.1365,-121.304,http://awoiaf.westeros.org/images/thumb/d/df/House_Wayn.PNG/109px-House_Wayn.PNG,the Riverlands,,,,,
House_Darry,Darry,,,http://awoiaf.westeros.org/images/thumb/2/22/House_Darry.png/50px-House_Darry.png,,,,,,
House_Harroway,Harrenhal,,,http://awoiaf.westeros.org/images/thumb/7/77/Harroway.png/109px-Harroway.png,,,0,137,0,99
House_Whent,Harrenhal,,,http://awoiaf.westeros.org/images/thumb/6/6d/House_Whent.png/50px-House_Whent.png,,,0,79,-1,-1
House_Slynt,Harrenhal,,,http://awoiaf.westeros.org/images/thumb/e/ea/House_Slynt.PNG/110px-House_Slynt.PNG,,,57,80,-1,-1
House_Algood,,1.5379,-148.462,http://awoiaf.westeros.org/images/thumb/8/88/Algood.png/93px-Algood.png,the Westerlands,,,,,
House_Banefort,Banefort,,,http://awoiaf.westeros.org/images/thumb/a/ac/Banefort.png/50px-Banefort.png,,,,,,
House_Bettley,,2.3723,-129.565,http://awoiaf.westeros.org/images/thumb/6/6b/Bettley.png/50px-Bettley.png,the Westerlands,,,,,
House_Brax,Hornvale,,,http://awoiaf.westeros.org/images/thumb/9/93/House_Brax.PNG/90px-House_Brax.PNG,,,,,,
House_Broom,,13.4109,-149.165,http://awoiaf.westeros.org/images/thumb/f/f3/House_Broom.png/90px-House_Broom.png,the Westerlands,,,,,
House_Crakehall,Crakehall,,,http://awoiaf.westeros.org/images/thumb/e/e4/House_Crakehall.PNG/104px-House_Crakehall.PNG,,,,,,
House_Doggett,,7.7109,-143.364,http://awoiaf.westeros.org/images/thumb/7/75/House_Doggett.PNG/250px-House_Doggett.PNG,the Westerlands,,,,,
House_Drox,,19.9733,-139.058,http://awoiaf.westeros.org/images/thumb/c/cf/Drox.png/93px-Drox.png,the Westerlands,,,,,
House_Estren,,25.6415,-142.837,http://awoiaf.westeros.org/images/thumb/2/27/House_Estren.PNG/90px-House_Estren.PNG,the Westerlands,,,,,
House_Falwell,,12.5545,-141.958,http://awoiaf.westeros.org/images/thumb/f/fe/Falwell.png/109px-Falwell.png,the Westerlands,,,,,
House_Farman,Faircastle,,,http://awoiaf.westeros.org/images/thumb/8/83/Farman.png/50px-Farman.png,,,,,,
House_Ferren,,-1.4939,-140.024,http://awoiaf.westeros.org/images/thumb/5/52/Ferren.png/250px-Ferren.png,the Westerlands,,,,,
House_Foote,,-0.9667,-133.433,http://awoiaf.westeros.org/images/thumb/0/0c/House_Foote.PNG/100px-House_Foote.PNG,the Westerlands,,,,,
House_Garner,,-0.8788,-150.703,http://awoiaf.westeros.org/images/thumb/b/b7/House_Garner.PNG/101px-House_Garner.PNG,the Westerlands,,,,,
House_Hamell,,2.8113,-134.268,http://awoiaf.westeros.org/images/thumb/6/6c/Hamell.PNG/250px-Hamell.PNG,the Westerlands,,,,,
House_Jast,,9.6224,-154.746,http://awoiaf.westeros.org/images/thumb/4/4d/House_Jast.PNG/90px-House_Jast.PNG,the Westerlands,,,,,
House_Kenning_of_Kayce,Kayce,,,http://awoiaf.westeros.org/images/thumb/4/4b/House_Kenning.PNG/50px-House_Kenning.PNG,,,,,,
House_Lefford,Golden_Tooth,,,http://awoiaf.westeros.org/images/thumb/7/71/House_Lefford.PNG/109px-House_Lefford.PNG,,,,,,
House_Lydden,Deep_Den,,,http://awoiaf.westeros.org/images/thumb/e/ec/House_Lydden.PNG/50px-House_Lydden.PNG,,,,,,
House_Marbrand,Ashemark,,,http://awoiaf.westeros.org/images/thumb/9/98/Marbrand.png/90px-Marbrand.png,,,,,,
House_Moreland,,2.3723,-139.585,http://awoiaf.westeros.org/images/thumb/9/94/House_Moreland.PNG/90px-House_Moreland.PNG,the Westerlands,,,,,
House_Myatt,,-3.601,-151.934,http://awoiaf.westeros.org/images/thumb/9/91/House_Myatt.PNG/90px-House_Myatt.PNG,the Westerlands,,,,,
House_Payne,,6.1406,-147.715,http://awoiaf.westeros.org/images/thumb/b/bb/House_Payne.png/50px-House_Payne.png,the Westerlands,,,,,
House_Peckledon,,22.106,-145.957,http://awoiaf.westeros.org/images/thumb/e/e9/House_Peckledon.PNG/50px-House_Peckledon.PNG,the Westerlands,,,,,
House_Plumm,,-4.1272,-149.033,http://awoiaf.westeros.org/images/thumb/7/7e/House_Plumm.PNG/50px-House_Plumm.PNG,the Westerlands,,,,,
House_Prester,Feastfires,,,http://awoiaf.westeros.org/images/thumb/e/e8/House_Prester.PNG/90px-House_Prester.PNG,,,,,,
House_Sarsfield,Sarsfield,,,http://awoiaf.westeros.org/images/thumb/3/3b/House_Sarsfield.PNG/102px-House_Sarsfield.PNG,,,,,,
House_Serrett,Silverhill,,,http://awoiaf.westeros.org/images/thumb/3/3e/House_Serrett.PNG/90px-House_Serrett.PNG,,,,,,
House_Spicer,Castamere,,,http://awoiaf.westeros.org/images/thumb/d/d7/House_Spicer.PNG/109px-House_Spicer.PNG,,,,,,
House_Stackspear,,4.7407,-145.43,http://awoiaf.westeros.org/images/thumb/2/2b/House_Stackspear.PNG/50px-House_Stackspear.PNG,the Westerlands,,,,,
House_Turnberry,,19.6426,-142.881,http://awoiaf.westeros.org/images/thumb/f/ff/Turnberry.png/50px-Turnberry.png,the Westerlands,,,,,
House_Westerling,The_Crag,,,http://awoiaf.westeros.org/images/thumb/d/df/House_Westerling.PNG/50px-House_Westerling.PNG,,,,,,
House_Yarwyck,,11.7813,-150.879,http://awoiaf.westeros.org/images/thumb/f/fa/Yarwyck.png/50px-Yarwyck.png,the Westerlands,,,,,
House_Clegane,Clegane%27s_Keep,,,http://awoiaf.westeros.org/images/thumb/8/83/House_Clegane.png/109px-House_Clegane.png,,,,,,
House_Swyft,Cornfield,,,http://awoiaf.westeros.org/images/thumb/6/68/House_Swyft.PNG/50px-House_Swyft.PNG,,,,,,
House_Blount,,5.5722,-109.043,http://awoiaf.westeros.org/images/thumb/e/e8/House_Blount.PNG/50px-House_Blount.PNG,,,,,,
House_Buckwell,Antlers,,,http://awoiaf.westeros.org/images/thumb/6/63/House_Buckwell.PNG/105px-House_Buckwell.PNG,,,,,,
House_Byrch,,-1.8014,-99.1992,http://awoiaf.westeros.org/images/thumb/8/84/House_Byrch.PNG/101px-House_Byrch.PNG,,,,,,
House_Chyttering,,11.7383,-96.6503,http://awoiaf.westeros.org/images/thumb/3/30/House_Chyttering.PNG/109px-House_Chyttering.PNG,,,,,,
House_Bywater,,1.2743,-90.9375,http://awoiaf.westeros.org/images/thumb/1/1f/Bywater.PNG/50px-Bywater.PNG,,,,,,
House_Chelsted,,11.6522,-101.836,http://awoiaf.westeros.org/images/thumb/2/26/House_Chelsted.PNG/50px-House_Chelsted.PNG,,,,,,
House_Cressey,,14.6048,-99.1406,http://awoiaf.westeros.org/images/thumb/1/18/House_Cressy.PNG/109px-House_Cressy.PNG,the Crownlands,,,,,
House_Edgerton,,14.7748,-101.25,http://awoiaf.westeros.org/images/thumb/0/04/Edgerton.png/120px-Edgerton.png,the Crownlands,,,,,
House_Farring,,11.2646,-104.238,http://awoiaf.westeros.org/images/thumb/6/6f/House_Farring.PNG/50px-House_Farring.PNG,the Crownlands,,,,,
House_Follard,,8.7547,-101.865,http://awoiaf.westeros.org/images/thumb/2/24/Follard.png/109px-Follard.png,the Crownlands,,,,,
House_Gaunt,,12.9831,-106.523,http://awoiaf.westeros.org/images/thumb/d/db/House_Gaunt.PNG/99px-House_Gaunt.PNG,the Crownlands,,,,,
House_Harte,,8.4071,-105.557,http://awoiaf.westeros.org/images/thumb/8/83/House_Harte.PNG/50px-House_Harte.PNG,the Crownlands,,,,,
House_Hayford,Hayford,,,http://awoiaf.westeros.org/images/thumb/7/7c/Hayford.PNG/109px-Hayford.PNG,,,,,,
House_Langward,,9.1888,-108.721,http://awoiaf.westeros.org/images/thumb/c/c6/Langward.png/107px-Langward.png,the Crownlands,,,,,
House_Mallery,,2.8113,-99.9316,http://awoiaf.westeros.org/images/thumb/d/df/House_Mallery.PNG/101px-House_Mallery.PNG,the Crownlands,,,,,
House_Manning,,6.3152,-97.6464,http://awoiaf.westeros.org/images/thumb/e/ef/House_Manning.PNG/90px-House_Manning.PNG,the Crownlands,,,,,
House_Massey,Stonedance,,,http://awoiaf.westeros.org/images/thumb/b/b3/House_Massey.png/109px-House_Massey.png,,,,,,
House_Pyle,,6.0531,-100.195,http://awoiaf.westeros.org/images/thumb/d/d4/House_Pyle.PNG/109px-House_Pyle.PNG,the Crownlands,,,,,
House_Rollingford,,11.3077,-99.4189,http://awoiaf.westeros.org/images/thumb/3/39/House_Rollingford.PNG/101px-House_Rollingford.PNG,the Crownlands,,,,,
House_Rosby,Rosby,,,http://awoiaf.westeros.org/images/thumb/3/3f/House_Rosby.PNG/109px-House_Rosby.PNG,,,,,,
House_Rykker,Duskendale,,,http://awoiaf.westeros.org/images/thumb/f/f5/House_Rykker.PNG/109px-House_Rykker.PNG,,,,,,
House_Staunton,Rook%27s_Rest,,,http://awoiaf.westeros.org/images/thumb/a/aa/House_Staunton.PNG/108px-House_Staunton.PNG,,,,,,
House_Stokeworth,Stokeworth,,,http://awoiaf.westeros.org/images/thumb/8/8f/Stokeworth.png/50px-Stokeworth.png,,,,,,
House_Thorne,,17.0567,-98.1005,http://awoiaf.westeros.org/images/thumb/2/24/Thorne.png/50px-Thorne.png,the Crownlands,,,,,
House_Wendwater,,15.3689,-96.8701,http://awoiaf.westeros.org/images/thumb/2/22/House_Wendwater.PNG/250px-House_Wendwater.PNG,the Crownlands,,,,,
House_Bar_Emmon,Sharp_Point,,,http://awoiaf.westeros.org/images/thumb/e/e7/BarEmmon.png/109px-BarEmmon.png,,,,,,
House_Celtigar,,19.7667,-82.5439,http://awoiaf.westeros.org/images/thumb/6/60/Celtigar.png/50px-Celtigar.png,,,,,,
